"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Delft";"   114.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Delft";"   124.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Delft";"   129.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Delft";"   133.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Delft";"   135.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Delft";"   138.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Diemen";"    36.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Diemen";"    41.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Diemen";"    45.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Diemen";"    50.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Diemen";"    53.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Diemen";"    57.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Dordrecht";"   123.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Dordrecht";"   128.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Dordrecht";"   132.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Dordrecht";"   134.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Dordrecht";"   137.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Dordrecht";"   138.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Drechterland";"    20.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Drechterland";"    20.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Drechterland";"    20.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Drechterland";"    21.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Drechterland";"    21.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Drechterland";"    21.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Edam-Volendam";"    37.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Edam-Volendam";"    38.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Edam-Volendam";"    39.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Edam-Volendam";"    40.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Edam-Volendam";"    41.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Edam-Volendam";"    42.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Eemnes";"    10.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Eemnes";"    10.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Eemnes";"    11.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Eemnes";"    12.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Eemnes";"    12.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Eemnes";"    13.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Enkhuizen";"    19.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Enkhuizen";"    20.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Enkhuizen";"    20.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Enkhuizen";"    21.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Enkhuizen";"    21.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Enkhuizen";"    22.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Goeree-Overflakkee";"    51.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Goeree-Overflakkee";"    51.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Goeree-Overflakkee";"    51.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Goeree-Overflakkee";"    51.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Goeree-Overflakkee";"    52.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Goeree-Overflakkee";"    52.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Gooise Meren";"    60.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Gooise Meren";"    61.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Gooise Meren";"    62.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Gooise Meren";"    63.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Gooise Meren";"    63.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Gooise Meren";"    64.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Gorinchem";"    39.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Gorinchem";"    42.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Gorinchem";"    43.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Gorinchem";"    44.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Gorinchem";"    45.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Gorinchem";"    45.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Gouda";"    81.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Gouda";"    87.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Gouda";"    91.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Gouda";"    94.5"
