"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3451";"T001038";"10000";"T001019";"GM0202";"2019JJ00";"  159265"
"3452";"T001038";"10000";"T001019";"GM0202";"2020JJ00";"  161348"
"3453";"T001038";"10000";"T001019";"GM0202";"2021JJ00";"  162424"
"3454";"T001038";"10000";"T001019";"GM0202";"2022JJ00";"  163888"
"3455";"T001038";"10000";"T001019";"GM0202";"2023JJ00";"  165770"
"3487";"T001038";"10000";"T001019";"GM0106";"2019JJ00";"   67963"
"3488";"T001038";"10000";"T001019";"GM0106";"2020JJ00";"   68599"
"3489";"T001038";"10000";"T001019";"GM0106";"2021JJ00";"   68836"
"3490";"T001038";"10000";"T001019";"GM0106";"2022JJ00";"   68979"
"3491";"T001038";"10000";"T001019";"GM0106";"2023JJ00";"   69414"
"3523";"T001038";"10000";"T001019";"GM0743";"2019JJ00";"   16710"
"3524";"T001038";"10000";"T001019";"GM0743";"2020JJ00";"   16721"
"3525";"T001038";"10000";"T001019";"GM0743";"2021JJ00";"   16817"
"3526";"T001038";"10000";"T001019";"GM0743";"2022JJ00";"   17068"
"3527";"T001038";"10000";"T001019";"GM0743";"2023JJ00";"   17242"
"3559";"T001038";"10000";"T001019";"GM0143";"2019JJ00";""
"3560";"T001038";"10000";"T001019";"GM0143";"2020JJ00";""
"3561";"T001038";"10000";"T001019";"GM0143";"2021JJ00";""
"3562";"T001038";"10000";"T001019";"GM0143";"2022JJ00";""
"3563";"T001038";"10000";"T001019";"GM0143";"2023JJ00";""
"3595";"T001038";"10000";"T001019";"GM0650";"2019JJ00";""
"3596";"T001038";"10000";"T001019";"GM0650";"2020JJ00";""
"3597";"T001038";"10000";"T001019";"GM0650";"2021JJ00";""
"3598";"T001038";"10000";"T001019";"GM0650";"2022JJ00";""
"3599";"T001038";"10000";"T001019";"GM0650";"2023JJ00";""
"3631";"T001038";"10000";"T001019";"GM0744";"2019JJ00";"    6847"
"3632";"T001038";"10000";"T001019";"GM0744";"2020JJ00";"    6859"
"3633";"T001038";"10000";"T001019";"GM0744";"2021JJ00";"    6899"
"3634";"T001038";"10000";"T001019";"GM0744";"2022JJ00";"    6931"
"3635";"T001038";"10000";"T001019";"GM0744";"2023JJ00";"    7071"
"3667";"T001038";"10000";"T001019";"GM0308";"2019JJ00";"   24767"
"3668";"T001038";"10000";"T001019";"GM0308";"2020JJ00";"   24868"
"3669";"T001038";"10000";"T001019";"GM0308";"2021JJ00";"   24792"
"3670";"T001038";"10000";"T001019";"GM0308";"2022JJ00";"   24876"
"3671";"T001038";"10000";"T001019";"GM0308";"2023JJ00";"   25008"
"3703";"T001038";"10000";"T001019";"GM0886";"2019JJ00";""
"3704";"T001038";"10000";"T001019";"GM0886";"2020JJ00";""
"3705";"T001038";"10000";"T001019";"GM0886";"2021JJ00";""
"3706";"T001038";"10000";"T001019";"GM0886";"2022JJ00";""
"3707";"T001038";"10000";"T001019";"GM0886";"2023JJ00";""
"3739";"T001038";"10000";"T001019";"GM0004";"2019JJ00";""
"3740";"T001038";"10000";"T001019";"GM0004";"2020JJ00";""
"3741";"T001038";"10000";"T001019";"GM0004";"2021JJ00";""
"3742";"T001038";"10000";"T001019";"GM0004";"2022JJ00";""
"3743";"T001038";"10000";"T001019";"GM0004";"2023JJ00";""
"3775";"T001038";"10000";"T001019";"GM0745";"2019JJ00";""
"3776";"T001038";"10000";"T001019";"GM0745";"2020JJ00";""
"3777";"T001038";"10000";"T001019";"GM0745";"2021JJ00";""
"3778";"T001038";"10000";"T001019";"GM0745";"2022JJ00";""
"3779";"T001038";"10000";"T001019";"GM0745";"2023JJ00";""
"3811";"T001038";"10000";"T001019";"GM0489";"2019JJ00";"   48673"
"3812";"T001038";"10000";"T001019";"GM0489";"2020JJ00";"   48714"
"3813";"T001038";"10000";"T001019";"GM0489";"2021JJ00";"   48643"
"3814";"T001038";"10000";"T001019";"GM0489";"2022JJ00";"   48714"
"3815";"T001038";"10000";"T001019";"GM0489";"2023JJ00";"   48812"
"3847";"T001038";"10000";"T001019";"GM0203";"2019JJ00";"   57971"
"3848";"T001038";"10000";"T001019";"GM0203";"2020JJ00";"   59082"
"3849";"T001038";"10000";"T001019";"GM0203";"2021JJ00";"   59992"
"3850";"T001038";"10000";"T001019";"GM0203";"2022JJ00";"   60584"
"3851";"T001038";"10000";"T001019";"GM0203";"2023JJ00";"   61655"
"3883";"T001038";"10000";"T001019";"GM0369";"2019JJ00";""
"3884";"T001038";"10000";"T001019";"GM0369";"2020JJ00";""
"3885";"T001038";"10000";"T001019";"GM0369";"2021JJ00";""
"3886";"T001038";"10000";"T001019";"GM0369";"2022JJ00";""
"3887";"T001038";"10000";"T001019";"GM0369";"2023JJ00";""
"3919";"T001038";"10000";"T001019";"GM0144";"2019JJ00";""
"3920";"T001038";"10000";"T001019";"GM0144";"2020JJ00";""
"3921";"T001038";"10000";"T001019";"GM0144";"2021JJ00";""
"3922";"T001038";"10000";"T001019";"GM0144";"2022JJ00";""
"3923";"T001038";"10000";"T001019";"GM0144";"2023JJ00";""
"3955";"T001038";"10000";"T001019";"GM0005";"2019JJ00";""
"3956";"T001038";"10000";"T001019";"GM0005";"2020JJ00";""
"3957";"T001038";"10000";"T001019";"GM0005";"2021JJ00";""
"3958";"T001038";"10000";"T001019";"GM0005";"2022JJ00";""
"3959";"T001038";"10000";"T001019";"GM0005";"2023JJ00";""
"3991";"T001038";"10000";"T001019";"GM0887";"2019JJ00";""
"3992";"T001038";"10000";"T001019";"GM0887";"2020JJ00";""
"3993";"T001038";"10000";"T001019";"GM0887";"2021JJ00";""
"3994";"T001038";"10000";"T001019";"GM0887";"2022JJ00";""
"3995";"T001038";"10000";"T001019";"GM0887";"2023JJ00";""
"4027";"T001038";"10000";"T001019";"GM0888";"2019JJ00";"   15929"
"4028";"T001038";"10000";"T001019";"GM0888";"2020JJ00";"   15865"
"4029";"T001038";"10000";"T001019";"GM0888";"2021JJ00";"   15875"
"4030";"T001038";"10000";"T001019";"GM0888";"2022JJ00";"   15817"
"4031";"T001038";"10000";"T001019";"GM0888";"2023JJ00";"   16132"
"4063";"T001038";"10000";"T001019";"GM0746";"2019JJ00";""
"4064";"T001038";"10000";"T001019";"GM0746";"2020JJ00";""
"4065";"T001038";"10000";"T001019";"GM0746";"2021JJ00";""
"4066";"T001038";"10000";"T001019";"GM0746";"2022JJ00";""
"4067";"T001038";"10000";"T001019";"GM0746";"2023JJ00";""
"4099";"T001038";"10000";"T001019";"GM1954";"2019JJ00";"   35727"
"4100";"T001038";"10000";"T001019";"GM1954";"2020JJ00";"   35938"
"4101";"T001038";"10000";"T001019";"GM1954";"2021JJ00";"   36065"
"4102";"T001038";"10000";"T001019";"GM1954";"2022JJ00";"   35922"
"4103";"T001038";"10000";"T001019";"GM1954";"2023JJ00";"   35966"
"4135";"T001038";"10000";"T001019";"GM0370";"2019JJ00";"    9748"
"4136";"T001038";"10000";"T001019";"GM0370";"2020JJ00";"   10022"
"4137";"T001038";"10000";"T001019";"GM0370";"2021JJ00";"   10110"
"4138";"T001038";"10000";"T001019";"GM0370";"2022JJ00";""
"4139";"T001038";"10000";"T001019";"GM0370";"2023JJ00";""
"4171";"T001038";"10000";"T001019";"GM0747";"2019JJ00";""
"4172";"T001038";"10000";"T001019";"GM0747";"2020JJ00";""
"4173";"T001038";"10000";"T001019";"GM0747";"2021JJ00";""
"4174";"T001038";"10000";"T001019";"GM0747";"2022JJ00";""
"4175";"T001038";"10000";"T001019";"GM0747";"2023JJ00";""
"4207";"T001038";"10000";"T001019";"GM0006";"2019JJ00";""
"4208";"T001038";"10000";"T001019";"GM0006";"2020JJ00";""
"4209";"T001038";"10000";"T001019";"GM0006";"2021JJ00";""
"4210";"T001038";"10000";"T001019";"GM0006";"2022JJ00";""
"4211";"T001038";"10000";"T001019";"GM0006";"2023JJ00";""
"4243";"T001038";"10000";"T001019";"GM0889";"2019JJ00";"   13519"
"4244";"T001038";"10000";"T001019";"GM0889";"2020JJ00";"   13482"
"4245";"T001038";"10000";"T001019";"GM0889";"2021JJ00";"   13450"
"4246";"T001038";"10000";"T001019";"GM0889";"2022JJ00";"   13408"
"4247";"T001038";"10000";"T001019";"GM0889";"2023JJ00";"   13449"
"4279";"T001038";"10000";"T001019";"GM0107";"2019JJ00";""
"4280";"T001038";"10000";"T001019";"GM0107";"2020JJ00";""
"4281";"T001038";"10000";"T001019";"GM0107";"2021JJ00";""
"4282";"T001038";"10000";"T001019";"GM0107";"2022JJ00";""
"4283";"T001038";"10000";"T001019";"GM0107";"2023JJ00";""
"4315";"T001038";"10000";"T001019";"GM0890";"2019JJ00";""
"4316";"T001038";"10000";"T001019";"GM0890";"2020JJ00";""
"4317";"T001038";"10000";"T001019";"GM0890";"2021JJ00";""
"4318";"T001038";"10000";"T001019";"GM0890";"2022JJ00";""
"4319";"T001038";"10000";"T001019";"GM0890";"2023JJ00";""
"4351";"T001038";"10000";"T001019";"GM0007";"2019JJ00";""
"4352";"T001038";"10000";"T001019";"GM0007";"2020JJ00";""
"4353";"T001038";"10000";"T001019";"GM0007";"2021JJ00";""
"4354";"T001038";"10000";"T001019";"GM0007";"2022JJ00";""
"4355";"T001038";"10000";"T001019";"GM0007";"2023JJ00";""
"4387";"T001038";"10000";"T001019";"GM0206";"2019JJ00";""
"4388";"T001038";"10000";"T001019";"GM0206";"2020JJ00";""
"4389";"T001038";"10000";"T001019";"GM0206";"2021JJ00";""
"4390";"T001038";"10000";"T001019";"GM0206";"2022JJ00";""
"4391";"T001038";"10000";"T001019";"GM0206";"2023JJ00";""
"4423";"T001038";"10000";"T001019";"GM0372";"2019JJ00";""
"4424";"T001038";"10000";"T001019";"GM0372";"2020JJ00";""
"4425";"T001038";"10000";"T001019";"GM0372";"2021JJ00";""
"4426";"T001038";"10000";"T001019";"GM0372";"2022JJ00";""
"4427";"T001038";"10000";"T001019";"GM0372";"2023JJ00";""
"4459";"T001038";"10000";"T001019";"GM0309";"2019JJ00";""
"4460";"T001038";"10000";"T001019";"GM0309";"2020JJ00";""
"4461";"T001038";"10000";"T001019";"GM0309";"2021JJ00";""
"4462";"T001038";"10000";"T001019";"GM0309";"2022JJ00";""
"4463";"T001038";"10000";"T001019";"GM0309";"2023JJ00";""
"4495";"T001038";"10000";"T001019";"GM0490";"2019JJ00";""
"4496";"T001038";"10000";"T001019";"GM0490";"2020JJ00";""
"4497";"T001038";"10000";"T001019";"GM0490";"2021JJ00";""
"4498";"T001038";"10000";"T001019";"GM0490";"2022JJ00";""
"4499";"T001038";"10000";"T001019";"GM0490";"2023JJ00";""
"4531";"T001038";"10000";"T001019";"GM1945";"2019JJ00";"   34798"
"4532";"T001038";"10000";"T001019";"GM1945";"2020JJ00";"   34992"
"4533";"T001038";"10000";"T001019";"GM1945";"2021JJ00";"   35010"
"4534";"T001038";"10000";"T001019";"GM1945";"2022JJ00";"   34951"
"4535";"T001038";"10000";"T001019";"GM1945";"2023JJ00";"   35420"
"4567";"T001038";"10000";"T001019";"GM0491";"2019JJ00";""
"4568";"T001038";"10000";"T001019";"GM0491";"2020JJ00";""
"4569";"T001038";"10000";"T001019";"GM0491";"2021JJ00";""
"4570";"T001038";"10000";"T001019";"GM0491";"2022JJ00";""
"4571";"T001038";"10000";"T001019";"GM0491";"2023JJ00";""
"4603";"T001038";"10000";"T001019";"GM1724";"2019JJ00";"   18491"
"4604";"T001038";"10000";"T001019";"GM1724";"2020JJ00";"   18635"
"4605";"T001038";"10000";"T001019";"GM1724";"2021JJ00";"   18754"
"4606";"T001038";"10000";"T001019";"GM1724";"2022JJ00";"   18879"
"4607";"T001038";"10000";"T001019";"GM1724";"2023JJ00";"   19092"
"4639";"T001038";"10000";"T001019";"GM0893";"2019JJ00";"   13140"
"4640";"T001038";"10000";"T001019";"GM0893";"2020JJ00";"   13085"
"4641";"T001038";"10000";"T001019";"GM0893";"2021JJ00";"   13108"
"4642";"T001038";"10000";"T001019";"GM0893";"2022JJ00";"   13106"
"4643";"T001038";"10000";"T001019";"GM0893";"2023JJ00";"   13119"
"4675";"T001038";"10000";"T001019";"GM0373";"2019JJ00";"   29974"
"4676";"T001038";"10000";"T001019";"GM0373";"2020JJ00";"   29839"
"4677";"T001038";"10000";"T001019";"GM0373";"2021JJ00";"   29715"
"4678";"T001038";"10000";"T001019";"GM0373";"2022JJ00";"   29723"
"4679";"T001038";"10000";"T001019";"GM0373";"2023JJ00";"   30138"
"4711";"T001038";"10000";"T001019";"GM0748";"2019JJ00";"   66811"
"4712";"T001038";"10000";"T001019";"GM0748";"2020JJ00";"   67496"
"4713";"T001038";"10000";"T001019";"GM0748";"2021JJ00";"   67514"
"4714";"T001038";"10000";"T001019";"GM0748";"2022JJ00";"   67894"
"4715";"T001038";"10000";"T001019";"GM0748";"2023JJ00";"   68864"
"4747";"T001038";"10000";"T001019";"GM0749";"2019JJ00";""
"4748";"T001038";"10000";"T001019";"GM0749";"2020JJ00";""
"4749";"T001038";"10000";"T001019";"GM0749";"2021JJ00";""
"4750";"T001038";"10000";"T001019";"GM0749";"2022JJ00";""
"4751";"T001038";"10000";"T001019";"GM0749";"2023JJ00";""
"4783";"T001038";"10000";"T001019";"GM0207";"2019JJ00";""
"4784";"T001038";"10000";"T001019";"GM0207";"2020JJ00";""
"4785";"T001038";"10000";"T001019";"GM0207";"2021JJ00";""
"4786";"T001038";"10000";"T001019";"GM0207";"2022JJ00";""
