"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Prognose";"Totaal";"2035";"Hoeksche Waard";"    88.6"
"Prognose";"Totaal";"2040";"Hoeksche Waard";"    88.4"
"Prognose";"Totaal";"2045";"Hoeksche Waard";"    88.2"
"Prognose";"Totaal";"2050";"Hoeksche Waard";"    87.8"
"Prognose";"Totaal";"2025";"Hollands Kroon";"    49.4"
"Prognose";"Totaal";"2030";"Hollands Kroon";"    49.8"
"Prognose";"Totaal";"2035";"Hollands Kroon";"    50.0"
"Prognose";"Totaal";"2040";"Hollands Kroon";"    50.4"
"Prognose";"Totaal";"2045";"Hollands Kroon";"    50.8"
"Prognose";"Totaal";"2050";"Hollands Kroon";"    50.9"
"Prognose";"Totaal";"2025";"Hoorn";"    75.8"
"Prognose";"Totaal";"2030";"Hoorn";"    78.9"
"Prognose";"Totaal";"2035";"Hoorn";"    81.1"
"Prognose";"Totaal";"2040";"Hoorn";"    82.4"
"Prognose";"Totaal";"2045";"Hoorn";"    81.9"
"Prognose";"Totaal";"2050";"Hoorn";"    80.9"
"Prognose";"Totaal";"2025";"Houten";"    50.9"
"Prognose";"Totaal";"2030";"Houten";"    52.2"
"Prognose";"Totaal";"2035";"Houten";"    54.4"
"Prognose";"Totaal";"2040";"Houten";"    56.6"
"Prognose";"Totaal";"2045";"Houten";"    58.3"
"Prognose";"Totaal";"2050";"Houten";"    59.5"
"Prognose";"Totaal";"2025";"Huizen";"    41.0"
"Prognose";"Totaal";"2030";"Huizen";"    40.7"
"Prognose";"Totaal";"2035";"Huizen";"    40.7"
"Prognose";"Totaal";"2040";"Huizen";"    40.5"
"Prognose";"Totaal";"2045";"Huizen";"    40.2"
"Prognose";"Totaal";"2050";"Huizen";"    39.8"
"Prognose";"Totaal";"2025";"IJsselstein";"    33.6"
"Prognose";"Totaal";"2030";"IJsselstein";"    33.4"
"Prognose";"Totaal";"2035";"IJsselstein";"    33.5"
"Prognose";"Totaal";"2040";"IJsselstein";"    33.5"
"Prognose";"Totaal";"2045";"IJsselstein";"    33.6"
"Prognose";"Totaal";"2050";"IJsselstein";"    33.4"
"Prognose";"Totaal";"2025";"Kaag en Braassem";"    28.4"
"Prognose";"Totaal";"2030";"Kaag en Braassem";"    28.9"
"Prognose";"Totaal";"2035";"Kaag en Braassem";"    29.2"
"Prognose";"Totaal";"2040";"Kaag en Braassem";"    29.4"
"Prognose";"Totaal";"2045";"Kaag en Braassem";"    29.5"
"Prognose";"Totaal";"2050";"Kaag en Braassem";"    29.5"
"Prognose";"Totaal";"2025";"Katwijk";"    66.9"
"Prognose";"Totaal";"2030";"Katwijk";"    68.3"
"Prognose";"Totaal";"2035";"Katwijk";"    69.3"
"Prognose";"Totaal";"2040";"Katwijk";"    69.6"
"Prognose";"Totaal";"2045";"Katwijk";"    69.7"
"Prognose";"Totaal";"2050";"Katwijk";"    69.5"
"Prognose";"Totaal";"2025";"Koggenland";"    22.9"
"Prognose";"Totaal";"2030";"Koggenland";"    22.7"
"Prognose";"Totaal";"2035";"Koggenland";"    22.7"
"Prognose";"Totaal";"2040";"Koggenland";"    22.7"
"Prognose";"Totaal";"2045";"Koggenland";"    22.8"
"Prognose";"Totaal";"2050";"Koggenland";"    22.9"
"Prognose";"Totaal";"2025";"Krimpen aan den IJssel";"    29.1"
"Prognose";"Totaal";"2030";"Krimpen aan den IJssel";"    28.9"
"Prognose";"Totaal";"2035";"Krimpen aan den IJssel";"    29.1"
"Prognose";"Totaal";"2040";"Krimpen aan den IJssel";"    29.5"
"Prognose";"Totaal";"2045";"Krimpen aan den IJssel";"    29.7"
"Prognose";"Totaal";"2050";"Krimpen aan den IJssel";"    30.0"
"Prognose";"Totaal";"2025";"Krimpenerwaard";"    58.2"
"Prognose";"Totaal";"2030";"Krimpenerwaard";"    59.6"
"Prognose";"Totaal";"2035";"Krimpenerwaard";"    61.3"
"Prognose";"Totaal";"2040";"Krimpenerwaard";"    62.8"
"Prognose";"Totaal";"2045";"Krimpenerwaard";"    64.3"
"Prognose";"Totaal";"2050";"Krimpenerwaard";"    65.5"
"Prognose";"Totaal";"2025";"Landsmeer";"    11.6"
"Prognose";"Totaal";"2030";"Landsmeer";"    11.5"
"Prognose";"Totaal";"2035";"Landsmeer";"    11.5"
"Prognose";"Totaal";"2040";"Landsmeer";"    11.6"
"Prognose";"Totaal";"2045";"Landsmeer";"    11.6"
"Prognose";"Totaal";"2050";"Landsmeer";"    11.7"
"Prognose";"Totaal";"2025";"Langedijk";"    28.9"
"Prognose";"Totaal";"2030";"Langedijk";"    29.0"
"Prognose";"Totaal";"2035";"Langedijk";"    29.8"
"Prognose";"Totaal";"2040";"Langedijk";"    30.4"
"Prognose";"Totaal";"2045";"Langedijk";"    30.9"
"Prognose";"Totaal";"2050";"Langedijk";"    31.4"
"Prognose";"Totaal";"2025";"Lansingerland";"    65.5"
"Prognose";"Totaal";"2030";"Lansingerland";"    67.0"
"Prognose";"Totaal";"2035";"Lansingerland";"    69.2"
"Prognose";"Totaal";"2040";"Lansingerland";"    71.5"
"Prognose";"Totaal";"2045";"Lansingerland";"    73.5"
"Prognose";"Totaal";"2050";"Lansingerland";"    75.3"
"Prognose";"Totaal";"2025";"Laren (NH.)";"    11.6"
"Prognose";"Totaal";"2030";"Laren (NH.)";"    11.8"
"Prognose";"Totaal";"2035";"Laren (NH.)";"    11.9"
"Prognose";"Totaal";"2040";"Laren (NH.)";"    12.0"
"Prognose";"Totaal";"2045";"Laren (NH.)";"    12.2"
"Prognose";"Totaal";"2050";"Laren (NH.)";"    12.2"
"Prognose";"Totaal";"2025";"Leiden";"   130.4"
"Prognose";"Totaal";"2030";"Leiden";"   134.5"
"Prognose";"Totaal";"2035";"Leiden";"   136.3"
"Prognose";"Totaal";"2040";"Leiden";"   137.2"
"Prognose";"Totaal";"2045";"Leiden";"   138.5"
"Prognose";"Totaal";"2050";"Leiden";"   139.9"
"Prognose";"Totaal";"2025";"Leiderdorp";"    27.8"
"Prognose";"Totaal";"2030";"Leiderdorp";"    28.1"
"Prognose";"Totaal";"2035";"Leiderdorp";"    28.5"
"Prognose";"Totaal";"2040";"Leiderdorp";"    28.8"
"Prognose";"Totaal";"2045";"Leiderdorp";"    29.1"
"Prognose";"Totaal";"2050";"Leiderdorp";"    29.2"
"Prognose";"Totaal";"2025";"Leidschendam-Voorburg";"    78.0"
"Prognose";"Totaal";"2030";"Leidschendam-Voorburg";"    79.2"
"Prognose";"Totaal";"2035";"Leidschendam-Voorburg";"    79.9"
"Prognose";"Totaal";"2040";"Leidschendam-Voorburg";"    80.3"
"Prognose";"Totaal";"2045";"Leidschendam-Voorburg";"    80.6"
"Prognose";"Totaal";"2050";"Leidschendam-Voorburg";"    80.8"
"Prognose";"Totaal";"2025";"Leusden";"    31.2"
"Prognose";"Totaal";"2030";"Leusden";"    31.8"
"Prognose";"Totaal";"2035";"Leusden";"    32.7"
"Prognose";"Totaal";"2040";"Leusden";"    33.6"
"Prognose";"Totaal";"2045";"Leusden";"    34.5"
"Prognose";"Totaal";"2050";"Leusden";"    35.2"
"Prognose";"Totaal";"2025";"Lisse";"    23.2"
"Prognose";"Totaal";"2030";"Lisse";"    23.3"
"Prognose";"Totaal";"2035";"Lisse";"    23.4"
"Prognose";"Totaal";"2040";"Lisse";"    23.5"
"Prognose";"Totaal";"2045";"Lisse";"    23.5"
"Prognose";"Totaal";"2050";"Lisse";"    23.5"
"Prognose";"Totaal";"2025";"Lopik";"    14.7"
"Prognose";"Totaal";"2030";"Lopik";"    14.9"
"Prognose";"Totaal";"2035";"Lopik";"    15.4"
"Prognose";"Totaal";"2040";"Lopik";"    15.9"
"Prognose";"Totaal";"2045";"Lopik";"    16.2"
"Prognose";"Totaal";"2050";"Lopik";"    16.4"
"Prognose";"Totaal";"2025";"Medemblik";"    45.9"
"Prognose";"Totaal";"2030";"Medemblik";"    45.9"
"Prognose";"Totaal";"2035";"Medemblik";"    45.9"
"Prognose";"Totaal";"2040";"Medemblik";"    45.8"
"Prognose";"Totaal";"2045";"Medemblik";"    45.6"
