"seconds","_year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car","_IDX","_IDX2"
662256000,2040,21.15,21.15,21.15,0.157407331378299,0.157407331378299,0.157407331378299,0.542443401759531,0.542443401759531,0.542443401759531,1.2967008797654,9.72525659824047,20.3582038123167,37.8636656891496,0.25,0.48,0.27,25.145,0.059559530791789,0.691759604105572,1,1,1,10,
693792000,2041,19.6965,19.6965,19.6965,0.150912258064516,0.150912258064516,0.150912258064516,0.533070967741935,0.533070967741935,0.533070967741935,1.31184274193548,9.83882056451613,20.5959310483871,38.3058080645161,0.25,0.48,0.27,23.41695,0.057101935483871,0.679807258064516,1,1,1,11,
725328000,2042,18.396,18.396,18.396,0.144747038123167,0.144747038123167,0.144747038123167,0.52375366568915,0.52375366568915,0.52375366568915,1.32704398826979,9.95282991202346,20.8345906158358,38.749684457478,0.25,0.48,0.27,21.8708,0.054769149560117,0.667925219941349,1,1,1,12,
756864000,2043,17.2485,17.2485,17.2485,0.138911671554252,0.138911671554252,0.138911671554252,0.514491495601173,0.514491495601173,0.514491495601173,1.34229802052786,10.0672351539589,21.0740789222874,39.1951021994135,0.25,0.48,0.27,20.50655,0.052561173020528,0.65611348973607,1,1,1,13,
788400000,2044,16.254,16.254,16.254,0.133406158357771,0.133406158357771,0.133406158357771,0.505284457478006,0.505284457478006,0.505284457478006,1.35759824046921,10.1819868035191,21.3142923753666,39.6418686217009,0.25,0.48,0.27,19.3242,0.050478005865103,0.64437206744868,1,1,1,14,
819936000,2045,15.4125,15.4125,15.4125,0.128230498533724,0.128230498533724,0.128230498533724,0.496132551319648,0.496132551319648,0.496132551319648,1.37293804985337,10.2970353739003,21.5551273826979,40.0897910557185,0.25,0.48,0.27,18.32375,0.048519648093842,0.632700953079179,1,1,1,15,
851472000,2046,14.724,14.724,14.724,0.123384692082111,0.123384692082111,0.123384692082111,0.4870357771261,0.4870357771261,0.4870357771261,1.38831085043988,10.4123313782991,21.7964803519062,40.5386768328446,0.25,0.48,0.27,17.5052,0.046686099706745,0.621100146627566,1,1,1,16,
883008000,2047,14.1885,14.1885,14.1885,0.118868739002933,0.118868739002933,0.118868739002933,0.477994134897361,0.477994134897361,0.477994134897361,1.40371004398827,10.527825329912,22.0382476906158,40.9883332844575,0.25,0.48,0.27,16.86855,0.044977360703812,0.609569648093842,1,1,1,17,
914544000,2048,13.806,13.806,13.806,0.114682639296188,0.114682639296188,0.114682639296188,0.469007624633431,0.469007624633431,0.469007624633431,1.41912903225806,10.6434677419355,22.2803258064516,41.4385677419355,0.25,0.48,0.27,16.4138,0.043393431085044,0.598109457478006,1,1,1,18,
946080000,2049,13.5765,13.5765,13.5765,0.110826392961877,0.110826392961877,0.110826392961877,0.460076246334311,0.460076246334311,0.460076246334311,1.4345612170088,10.759209127566,22.5226111070381,41.8891875366569,0.25,0.48,0.27,16.14095,0.04193431085044,0.586719574780059,1,1,1,19,
977616000,2050,13.5,13.5,13.5,0.1073,0.1073,0.1073,0.4512,0.4512,0.4512,1.45,10.875,22.765,42.34,0.25,0.48,0.27,16.05,0.0406,0.5754,1,1,1,20,
